SYMBOL,K,K_used,Z,P,Dir,FDR
BCAP31,5,4,-3.275581589332331,0.001054446519428824,down,0.0023117446269175176
STXBP6,5,3,-3.2754133566208146,0.0010550747267860192,down,0.0023128893030328816
LOC105372795,1,1,3.2746996230128196,0.0010577437728861935,up,0.0023185071378133827
PIK3R6,4,4,3.274617079008743,0.001058052853399884,up,0.0023189514684800313
SYT7,5,3,3.274568405414112,0.0010582351475864817,up,0.002319117858115489
NECTIN2,4,2,3.274389195674055,0.0010589065811568209,up,0.0023203560534525935
PRRT3,5,3,-3.274288167458299,0.0010592852707565399,down,0.002320952581684756
ZNF154,5,3,-3.2740061747894926,0.0010603429423730966,down,0.002323036527653088
CAMK1D,5,3,-3.2739347253144815,0.0010606110834453996,down,0.0023233904974068686
MEA1,5,4,-3.273810646528564,0.00106107688490217,down,0.0023241773503217327
PTAR1,5,3,3.2736109650341576,0.0010618269022162445,up,0.002325586527548357
FAM200A,5,5,-3.2733145545008613,0.0010629411448182205,down,0.0023277930585818207
KREMEN1,5,4,3.273275264316031,0.0010630889224835264,up,0.002327882844421792
OTOS,3,3,3.2725640022609643,0.0010657673994141775,up,0.0023335136160116984
SOCS6,5,4,3.2723557925079616,0.0010665526579851801,up,0.0023349984431346566
DYNLT5,3,2,-3.2722282745354248,0.001067033853504376,down,0.0023358173551811324
