Specification,Gene,Datasets contributing (k),Pooled log2FC,SE,95% CI,Z,Pooled P (raw),Pooled P (FDR),Direction,Direction matches primary,I2 (%),Max raw LOO P
Sensitivity analysis 3b,NCALD,4,-0.7806865845731779,0.1200981704290533,"[-1.016, -0.545]",-6.500403642987718,8.010478458836263e-11,4.1534330809066014e-10,down,TRUE,0,1.9704395015950806e-5
Sensitivity analysis 3b,TMPRSS5,4,0.7976140917403818,0.12676878267781377,"[0.549, 1.046]",6.291880973311381,3.1364194654910455e-10,1.3959085775597482e-9,up,TRUE,0,1.1752774323003418e-5
Sensitivity analysis 3b,CLDN9,4,0.8947674507140793,0.14323851312202351,"[0.614, 1.176]",6.246696026171644,4.192257942883618e-10,1.8114047861542967e-9,up,TRUE,20.873847318440315,2.2189135268875725e-5
Sensitivity analysis 3b,MRGPRF,3,1.0697407089422342,0.172998755119848,"[0.731, 1.409]",6.183516801616012,6.26890580279167e-10,2.6372638204847718e-9,up,TRUE,27.22727415914811,0.00112726399115941
Sensitivity analysis 3b,GAD2,4,-0.9495209095328488,0.15836388029470214,"[-1.260, -0.639]",-5.995817403348974,2.0246441953036815e-9,7.552359822050064e-9,down,TRUE,0,4.3007817154762947e-5
Sensitivity analysis 3b,GAD1,4,-0.7980049119142455,0.13380470017455395,"[-1.060, -0.536]",-5.963952767527703,2.4620793557226663e-9,9.021824352948426e-9,down,TRUE,0,9.97021131331356e-6
Sensitivity analysis 3b,RAB3B,4,-0.7577744509557559,0.129875844068046,"[-1.012, -0.503]",-5.834606553615423,5.391764302039812e-9,1.854480789789481e-8,down,TRUE,0,3.123010539618326e-6
Sensitivity analysis 3b,TRIM36,3,-0.6562236840348249,0.1143528079864708,"[-0.880, -0.432]",-5.7385882829607775,9.546899387981336e-9,3.1379190698372895e-8,down,TRUE,0,1.0737560355064964e-4
Harness control (re-run of primary at 0.58),CHML,4,-0.7544407569081075,0.0678200956191379,"[-0.887, -0.622]",-11.124147644156588,9.571632769089795e-29,3.024635955032376e-26,down,TRUE,0,1.993715157269153e-11
Harness control (re-run of primary at 0.58),HSPB1,4,0.9528414575370784,0.09960863707008508,"[0.758, 1.148]",9.56585177314147,1.1128131659095339e-21,5.860816007123545e-20,up,TRUE,0,2.981812193815676e-7
Harness control (re-run of primary at 0.58),PRELP,4,0.761820511754901,0.08226875948085077,"[0.601, 0.923]",9.260143419717243,2.0415779818657568e-20,6.451386422695792e-19,up,TRUE,0,7.178371178820047e-12
Harness control (re-run of primary at 0.58),KANK2,3,0.8449067717408068,0.09650162192372788,"[0.656, 1.034]",8.755363432218756,2.03446839481155e-18,3.38364217242342e-17,up,TRUE,0,6.543366166329028e-9
